,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year
91,Pakistan,Southern Asia,92,5.132000000000001,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,3.18286,2016
92,Lebanon,Middle East and Northern Africa,93,5.129,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003,2.0733900000000003,2016
93,Portugal,Western Europe,94,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015,2016
94,Macedonia,Central and Eastern Europe,95,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997,2.08947,2016
95,Vietnam,Southeastern Asia,96,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,1.9418,2016
96,Somaliland Region,Sub-Saharan Africa,97,5.0569999999999995,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479,2.43801,2016
97,Tunisia,Middle East and Northern Africa,98,5.045,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936,2.68413,2016
98,Greece,Western Europe,99,5.033,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2.12944,2016
99,Tajikistan,Central and Eastern Europe,100,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2.39106,2016
100,Mongolia,Eastern Asia,101,4.907,0.9885299999999999,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,1.53586,2016
101,Laos,Southeastern Asia,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43078999999999995,2.08637,2016
102,Nigeria,Sub-Saharan Africa,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.8858599999999996,2016
103,Honduras,Latin America and Caribbean,104,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,2.2955099999999997,2016
104,Iran,Middle East and Northern Africa,105,4.813,1.11758,0.38856999999999997,0.64232,0.22544,0.0557,0.38538,1.99817,2016
105,Zambia,Sub-Saharan Africa,106,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,2.5899099999999997,2016
106,Nepal,Southern Asia,107,4.793,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2.32694,2016
107,Palestinian Territories,Middle East and Northern Africa,108,4.754,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2.40364,2016
108,Albania,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.9281599999999999,2016
109,Bangladesh,Southern Asia,110,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002,2.6090400000000002,2016
110,Sierra Leone,Sub-Saharan Africa,111,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,2016
111,Iraq,Middle East and Northern Africa,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,1.81657,2016
112,Namibia,Sub-Saharan Africa,113,4.574,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,0.07795,1.92198,2016
113,Cameroon,Sub-Saharan Africa,114,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,2.5198,2016
114,Ethiopia,Sub-Saharan Africa,115,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,2.65614,2016
115,South Africa,Sub-Saharan Africa,116,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,1.6422700000000001,2016
116,Sri Lanka,Southern Asia,117,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003,0.91681,2016
117,India,Southern Asia,118,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,2.18032,2016
118,Myanmar,Southeastern Asia,119,4.395,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,0.81971,1.50655,2016
119,Egypt,Middle East and Northern Africa,120,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,1.96895,2016
120,Armenia,Central and Eastern Europe,121,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.9786400000000002,2016
121,Kenya,Sub-Saharan Africa,122,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004,1.88326,2016
122,Ukraine,Central and Eastern Europe,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2016
123,Ghana,Sub-Saharan Africa,124,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002,2.2002,2016
124,Congo (Kinshasa),Sub-Saharan Africa,125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458000000000003,2.7492400000000004,2016
125,Georgia,Central and Eastern Europe,126,4.252,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,0.06786,1.87031,2016
